PV Array & Battery Report
,"PV and Battery required based on Prescriptive tables:  177.8 kWdc PV  /  Battery Energy 192.7 kWh and Power 46.22 kW (Time of Use control)"
,"Standard Design PV Capacity: 177.8 kWdc  /  Battery Capacity: 192.7 kWh  (power 46.22 kW, Time of Use control)"
,"User-specified PV array capacity:  305.7 kWdc  (no battery equipment defined)"

Prescriptive PV/Battery Requirements:
Space/ResOtherZn/ResZn,,,,,,NonRes & HiRiseRes Multiplied Areas by PVBattery Bldg Type,,,,,,,,,LowRiseRes,,Prescriptive Capacities:
Name,Conditioning Type,Space Function,PV/Batt Bldg Type,Floor Area,Multiplier,Grocery,Highrise Multifamily,"Office, Financial, Unleased Tenant",Retail,School,Warehouse,Other,none,# Res Dwellings,MultArea,,PV,Batt Energy,Batt Power
,,,,(ft2),,(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),,(ft2),,(kWdc),(kWh),(kW)
"P2.1_14_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1074.46,1,,1074.46,,,,,,,1,,,2.37456,2.57452,0.617385,
"P1.1_24_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",746.674,1,,746.674,,,,,,,1,,,1.65015,1.78911,0.429039,
"P1.1_08_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",746.674,1,,746.674,,,,,,,1,,,1.65015,1.78911,0.429039,
"P1.1_10_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",746.674,1,,746.674,,,,,,,1,,,1.65015,1.78911,0.429039,
"P1.1_11_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",746.674,1,,746.674,,,,,,,1,,,1.65015,1.78911,0.429039,
"P1.1_03_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",746.674,1,,746.674,,,,,,,1,,,1.65015,1.78911,0.429039,
"P2.1_01_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1074.46,1,,1074.46,,,,,,,1,,,2.37456,2.57452,0.617385,
"P1.3_07_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",763.385,1,,763.385,,,,,,,1,,,1.68708,1.82915,0.438641,
"P1.3_05_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",763.385,1,,763.385,,,,,,,1,,,1.68708,1.82915,0.438641,
"P2.2_19_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1058.52,1,,1058.52,,,,,,,1,,,2.33933,2.53633,0.608226,
"P2.2_21_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1058.52,1,,1058.52,,,,,,,1,,,2.33933,2.53633,0.608226,
"P2.2_23_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1058.52,1,,1058.52,,,,,,,1,,,2.33933,2.53633,0.608226,
"P2.2_25_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1058.52,1,,1058.52,,,,,,,1,,,2.33933,2.53633,0.608226,
"P1.2_18_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",900.961,1,,900.961,,,,,,,1,,,1.99112,2.1588,0.517692,
"P2.2_04_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1058.52,1,,1058.52,,,,,,,1,,,2.33933,2.53633,0.608226,
"P2.2_06_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1058.52,1,,1058.52,,,,,,,1,,,2.33933,2.53633,0.608226,
"P2.2_16_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1058.52,1,,1058.52,,,,,,,1,,,2.33933,2.53633,0.608226,
"P1.1_13_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",746.674,1,,746.674,,,,,,,1,,,1.65015,1.78911,0.429039,
"P3.1_15_L2","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1394.16,1,,1394.16,,,,,,,1,,,3.08109,3.34055,0.801084,
"P2.1_20_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1074.46,1,,1074.46,,,,,,,1,,,2.37456,2.57452,0.617385,
"P2.1_22_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1074.46,1,,1074.46,,,,,,,1,,,2.37456,2.57452,0.617385,
"P2.1_26_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1074.46,1,,1074.46,,,,,,,1,,,2.37456,2.57452,0.617385,
"P2.1_12_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1074.46,1,,1074.46,,,,,,,1,,,2.37456,2.57452,0.617385,
"P2.1_14_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1074.46,1,,1074.46,,,,,,,1,,,2.37456,2.57452,0.617385,
"P1.1_24_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",746.674,1,,746.674,,,,,,,1,,,1.65015,1.78911,0.429039,
"P1.1_08_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",746.674,1,,746.674,,,,,,,1,,,1.65015,1.78911,0.429039,
"P1.1_10_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",746.674,1,,746.674,,,,,,,1,,,1.65015,1.78911,0.429039,
"P1.1_11_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",746.674,1,,746.674,,,,,,,1,,,1.65015,1.78911,0.429039,
"P1.1_03_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",746.674,1,,746.674,,,,,,,1,,,1.65015,1.78911,0.429039,
"P2.1_01_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1074.46,1,,1074.46,,,,,,,1,,,2.37456,2.57452,0.617385,
"P1.3_07_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",763.385,1,,763.385,,,,,,,1,,,1.68708,1.82915,0.438641,
"P1.3_05_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",763.385,1,,763.385,,,,,,,1,,,1.68708,1.82915,0.438641,
"P2.2_19_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1058.52,1,,1058.52,,,,,,,1,,,2.33933,2.53633,0.608226,
"P2.2_21_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1058.52,1,,1058.52,,,,,,,1,,,2.33933,2.53633,0.608226,
"P2.2_23_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1058.52,1,,1058.52,,,,,,,1,,,2.33933,2.53633,0.608226,
"P2.2_25_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1058.52,1,,1058.52,,,,,,,1,,,2.33933,2.53633,0.608226,
"P1.2_18_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",900.961,1,,900.961,,,,,,,1,,,1.99112,2.1588,0.517692,
"P2.2_04_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1058.52,1,,1058.52,,,,,,,1,,,2.33933,2.53633,0.608226,
"P2.2_06_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1058.52,1,,1058.52,,,,,,,1,,,2.33933,2.53633,0.608226,
"P2.2_16_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1058.52,1,,1058.52,,,,,,,1,,,2.33933,2.53633,0.608226,
"P1.1_13_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",746.674,1,,746.674,,,,,,,1,,,1.65015,1.78911,0.429039,
"P3.1_15_L3","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1394.16,1,,1394.16,,,,,,,1,,,3.08109,3.34055,0.801084,
"P2.1_20_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1074.46,1,,1074.46,,,,,,,1,,,2.37456,2.57452,0.617385,
"P2.1_22_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1074.46,1,,1074.46,,,,,,,1,,,2.37456,2.57452,0.617385,
"P2.1_26_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1074.46,1,,1074.46,,,,,,,1,,,2.37456,2.57452,0.617385,
"P2.1_12_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1074.46,1,,1074.46,,,,,,,1,,,2.37456,2.57452,0.617385,
"P2.1_14_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1074.46,1,,1074.46,,,,,,,1,,,2.37456,2.57452,0.617385,
"P1.1_24_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",746.674,1,,746.674,,,,,,,1,,,1.65015,1.78911,0.429039,
"P1.1_08_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",746.674,1,,746.674,,,,,,,1,,,1.65015,1.78911,0.429039,
"P1.1_10_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",746.674,1,,746.674,,,,,,,1,,,1.65015,1.78911,0.429039,
"P1.1_11_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",746.674,1,,746.674,,,,,,,1,,,1.65015,1.78911,0.429039,
"P1.1_03_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",746.674,1,,746.674,,,,,,,1,,,1.65015,1.78911,0.429039,
"P2.1_01_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1074.46,1,,1074.46,,,,,,,1,,,2.37456,2.57452,0.617385,
"P1.3_07_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",763.385,1,,763.385,,,,,,,1,,,1.68708,1.82915,0.438641,
"P1.3_05_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",763.385,1,,763.385,,,,,,,1,,,1.68708,1.82915,0.438641,
"P2.2_19_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1058.52,1,,1058.52,,,,,,,1,,,2.33933,2.53633,0.608226,
"P2.2_21_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1058.52,1,,1058.52,,,,,,,1,,,2.33933,2.53633,0.608226,
"P2.2_23_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1058.52,1,,1058.52,,,,,,,1,,,2.33933,2.53633,0.608226,
"P2.2_25_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1058.52,1,,1058.52,,,,,,,1,,,2.33933,2.53633,0.608226,
"P1.2_18_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",900.961,1,,900.961,,,,,,,1,,,1.99112,2.1588,0.517692,
"P2.2_04_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1058.52,1,,1058.52,,,,,,,1,,,2.33933,2.53633,0.608226,
"P2.2_06_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1058.52,1,,1058.52,,,,,,,1,,,2.33933,2.53633,0.608226,
"P2.2_16_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1058.52,1,,1058.52,,,,,,,1,,,2.33933,2.53633,0.608226,
"P1.1_13_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",746.674,1,,746.674,,,,,,,1,,,1.65015,1.78911,0.429039,
"P3.1_15_L4","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1394.16,1,,1394.16,,,,,,,1,,,3.08109,3.34055,0.801084,
,,,,,Sums:,0,80432.8,0,0,0,0,0,0,82,0,,177.757,192.725,46.2167,
,,Bldg Cond Area:,80432.8,,Pcts:,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
