General Information
Project Address,City,ZipCode,ClimateZone,Compliance Software,Compliance Manager,RulesetFile Name,Compliance Type
" - specify - "," - specify - ",92562,"ClimateZone10","CBECC 2022.3.2 (1369)","BEMCmpMgr 2022.3.2 (8731)","CA 2022 Nonresidential, Vers. 1.0 Alpha (T24N_2022.bin)","NewComplete"

No. of Thermal Zones,No. of Thermal Zones (cond),No. of Air Systems,No. of Zonal Systems,No. of Terminal Units
0,0,1,0,0

No. of Stories
Total,New,Existing,Altered
4,4,0,0

No. of Above Grade Stories
Total,New,Existing,Altered
4,4,0,0

No. of Dwelling Units (Conditioned)
Total,New,Existing,Altered
82,82,0,0

NonRes Floor Area (Conditioned)
Total,New,Existing,Altered
4,4,0,0

Res Floor Area (Conditioned)
Total,New,Existing,Altered
80432.8,0,80432.8,0

,Conditioned Floor Area
Total Floor Area,Total,New,Existing,Altered
102233,80432.8,0,80432.8,0



Building Wall Area
Total ExtWall,N ExtWall,E ExtWall,S ExtWall,W ExtWall,
(ft2),(ft2),(ft2),(ft2),(ft2)
40137.12,8160.22,11499.30,8112.23,12365.38

Building New Wall Area
Total ExtWall,N ExtWall,E ExtWall,S ExtWall,W ExtWall,
(ft2),(ft2),(ft2),(ft2),(ft2)
0.00,0.00,0.00,0.00,0.00
Building Existing or Altered Wall Area
Total ExtWall,N ExtWall,E ExtWall,S ExtWall,W ExtWall,
(ft2),(ft2),(ft2),(ft2),(ft2)
0.00,0.00,0.00,0.00,0.00


Building Window Area,
Total Window Area,North Window,E Window,S Window,W Window
(ft2),(ft2),(ft2),(ft2),(ft2)
7768.31,1518.79,2372.37,1194.79,2682.37

Building New Window Area on New Walls,
Total Window Area,North Window,E Window,S Window,W Window
(ft2),(ft2),(ft2),(ft2),(ft2)
0.00,0.00,0.00,0.00,0.00
Building New Window Area on Existing or Altered Walls,
Total Window Area,North Window,E Window,S Window,W Window
(ft2),(ft2),(ft2),(ft2),(ft2)
0.00,0.00,0.00,0.00,0.00
Building Existing or Altered Window Area on Existing or Altered Walls,
Total Window Area,North Window,E Window,S Window,W Window
(ft2),(ft2),(ft2),(ft2),(ft2)
0.00,0.00,0.00,0.00,0.00


Window to Wall Ratio
Bldg. WWR,North WWR,East WWR,South WWR,West WWR
(frac.),(frac.),(frac.),(frac.),(frac.)
0.1935,0.1861,0.2063,0.1473,0.2169

New Window to New Wall Ratio
Bldg. WWR,North WWR,East WWR,South WWR,West WWR
(frac.),(frac.),(frac.),(frac.),(frac.)
0.0000,0.0000,0.0000,0.0000,0.0000
New Window to Existing or Altered Wall Ratio
Bldg. WWR,North WWR,East WWR,South WWR,West WWR
(frac.),(frac.),(frac.),(frac.),(frac.)
0.0000,0.0000,0.0000,0.0000,0.0000
Existing or Altered Window to Existing or Altered Wall Ratio
Bldg. WWR,North WWR,East WWR,South WWR,West WWR
(frac.),(frac.),(frac.),(frac.),(frac.)
0.0000,0.0000,0.0000,0.0000,0.0000


Skylight to Roof Ratio (SRR),Display Perimeter\SRR,West,Total
(frac.),(ft),(ft)
0.0000,0.00,0.00

New Skylight to New Roof Ratio (SRR)
(frac.)
0.0000
New Skylight to Existing or Altered Roof Ratio (SRR)
(frac.)
0.0000
Existing or Altered Skylight to Existing or Altered Roof Ratio (SRR)
(frac.)
0.0000
