1,CSE Zone Surface Areas file format version number,
CompMgr:,,"BEMCmpMgr 2022.3.2 (8731)",
Ruleset:,,"CA 2022 Nonresidential, Vers. 1.0 Alpha (T24N_2022.bin)",
CSE:,,-,
Calculation Date/Time:,,,"2025-12-17T13:28:08-07:00",
Input File Name:,,,"Jefferson Murrieta_Bldg 2C_2025-12-17",,,,,Areas include all sides exposed to the zone
,
Zone,,Zone,Num of,Exterior/Underground Surface Areas,,,,,Zone Boundary Areas Added,,,Interior Mass,,Other Interior Surface Areas,
Name,Conditioning,Area ft2,Exposures,Gr Wall ft2,Win Ft2,Floor ft2,Gr Ceiling ft2,Skylt ft2,Wall ft2,Floor ft2,Ceiling ft2,Wall ft2,Furn ft2,Wall ft2,Floor ft2,Ceiling ft2,
"P2.1_12_L3-zn",Conditioned,1074.46,2,400.858,95.7988,0,0,0,0,0,0,1739.22,4297.84,819.407,1074.46,1074.46,
"P2.1_14_L3-zn",Conditioned,1074.46,2,470.375,95.7988,0,0,0,0,0,0,1773.98,4297.84,749.89,1074.46,1074.46,
"P1.1_24_L3-zn",Conditioned,746.674,1,309.786,66.7362,0,0,0,0,0,0,1129.18,2986.7,728.335,746.674,746.674,
"P1.1_08_L3-zn",Conditioned,746.674,1,259.164,66.7362,0,0,0,0,0,0,1103.87,2986.7,778.958,746.674,746.674,
"P1.1_10_L3-zn",Conditioned,746.674,1,307.849,66.7362,0,0,0,0,0,0,1128.21,2986.7,730.272,746.674,746.674,
"P1.1_11_L3-zn",Conditioned,746.674,1,313.664,66.7362,0,0,0,0,0,0,1131.12,2986.7,724.457,746.674,746.674,
"P1.1_03_L3-zn",Conditioned,746.674,1,313.664,66.7362,0,0,0,0,0,0,1131.12,2986.7,724.458,746.674,746.674,
"P2.1_01_L3-zn",Conditioned,1074.46,2,719.407,115.174,0,0,0,0,0,0,1898.49,4297.84,500.859,1074.46,1074.46,
"P1.3_07_L3-zn",Conditioned,763.385,1,199.339,57.0487,0,0,0,0,0,0,1102.14,3053.54,849.258,763.385,763.385,
"P1.3_05_L3-zn",Conditioned,763.385,1,201.761,39.8265,0,0,0,0,0,0,1102.86,3053.54,847.81,763.442,763.442,
"P2.2_19_L3-zn",Conditioned,1058.52,2,730.513,115.174,0,0,0,0,0,0,1807.01,4234.08,620.066,1058.52,1058.52,
"P2.2_21_L3-zn",Conditioned,1058.52,1,495.324,95.7988,0,0,0,0,0,0,1689.41,4234.08,855.254,1058.52,1058.52,
"P2.2_23_L3-zn",Conditioned,1058.52,1,495.324,95.7988,0,0,0,0,0,0,1689.41,4234.08,855.254,1058.52,1058.52,
"P2.2_25_L3-zn",Conditioned,1058.52,2,782.108,115.174,0,0,0,0,0,0,1832.8,4234.08,568.471,1058.52,1058.52,
"P1.2_18_L3-zn",Conditioned,900.961,1,622.238,91.4932,0,0,0,0,0,0,1464.4,3603.84,675.046,900.961,900.961,
"P2.2_04_L3-zn",Conditioned,1058.52,1,544.737,95.7988,0,0,0,0,0,0,1714.12,4234.08,805.841,1058.52,1058.52,
"P2.2_06_L3-zn",Conditioned,1058.52,1,495.327,95.7988,0,0,0,0,0,0,1689.41,4234.08,855.257,1058.53,1058.53,
"P2.2_16_L3-zn",Conditioned,1058.52,1,642.588,95.7988,0,0,0,0,0,0,1763.05,4234.08,707.984,1058.51,1058.51,
"P1.1_13_L3-zn",Conditioned,746.674,1,307.849,66.7362,0,0,0,0,0,0,1128.21,2986.7,730.272,746.674,746.674,
"P3.1_15_L3-zn",Conditioned,1394.16,2,944.148,145.313,0,0,0,0,0,0,2515.35,5576.64,545.948,1394.16,1394.16,
"P2.1_20_L4-zn",Conditioned,1074.46,2,350.236,104.41,0,1074,0,0,0,0,1713.9,4297.84,870.03,1074.46,0,
"P2.1_22_L4-zn",Conditioned,1074.46,2,402.796,95.7988,0,1074,0,0,0,0,1740.18,4297.84,817.47,1074.46,0,
"P2.1_26_L4-zn",Conditioned,1074.46,2,464.075,105.486,0,1074,0,0,0,0,1770.83,4297.84,756.19,1074.46,0,
"P2.1_12_L4-zn",Conditioned,1074.46,2,400.858,95.7988,0,1074,0,0,0,0,1739.22,4297.84,819.407,1074.46,0,
"P2.1_14_L4-zn",Conditioned,1074.46,2,470.375,95.7988,0,1074,0,0,0,0,1773.98,4297.84,749.89,1074.46,0,
"P1.1_24_L4-zn",Conditioned,746.674,1,309.786,66.7362,0,747,0,0,0,0,1129.18,2986.7,728.335,746.674,0,
"P1.1_08_L4-zn",Conditioned,746.674,1,259.164,66.7362,0,1074,0,0,0,0,1103.87,2986.7,778.958,746.674,0,
"P1.1_10_L4-zn",Conditioned,746.674,1,307.849,66.7362,0,747,0,0,0,0,1128.21,2986.7,730.272,746.674,0,
"P1.1_11_L4-zn",Conditioned,746.674,1,313.664,66.7362,0,747,0,0,0,0,1131.12,2986.7,724.457,746.674,0,
"P1.1_03_L4-zn",Conditioned,746.674,1,313.664,66.7362,0,747,0,0,0,0,1131.12,2986.7,724.458,746.674,0,
"P2.1_01_L4-zn",Conditioned,1074.46,2,719.407,115.174,0,1074,0,0,0,0,1898.49,4297.84,500.859,1074.46,0,
"P1.3_07_L4-zn",Conditioned,763.385,1,199.339,57.0487,0,763,0,0,0,0,1102.14,3053.54,849.258,763.385,0,
"P1.3_05_L4-zn",Conditioned,763.385,1,201.761,39.8265,0,763,0,0,0,0,1102.86,3053.54,847.81,763.442,0,
"P2.2_19_L4-zn",Conditioned,1058.52,2,730.513,115.174,0,1059,0,0,0,0,1807.01,4234.08,620.066,1058.52,0,
"P2.2_21_L4-zn",Conditioned,1058.52,1,495.324,95.7988,0,1059,0,0,0,0,1689.41,4234.08,855.254,1058.52,0,
"P2.2_23_L4-zn",Conditioned,1058.52,1,495.324,95.7988,0,1059,0,0,0,0,1689.41,4234.08,855.254,1058.52,0,
"P2.2_25_L4-zn",Conditioned,1058.52,2,782.108,115.174,0,1059,0,0,0,0,1832.8,4234.08,568.471,1058.52,0,
"P1.2_18_L4-zn",Conditioned,900.961,1,622.238,91.4932,0,901,0,0,0,0,1464.4,3603.84,675.046,900.961,0,
"P2.2_04_L4-zn",Conditioned,1058.52,1,544.737,95.7988,0,1059,0,0,0,0,1714.12,4234.08,805.841,1058.52,0,
"P2.2_06_L4-zn",Conditioned,1058.52,1,495.327,95.7988,0,1059,0,0,0,0,1689.41,4234.08,855.257,1058.53,0,
"P2.2_16_L4-zn",Conditioned,1058.52,1,642.588,95.7988,0,1059,0,0,0,0,1763.05,4234.08,707.984,1058.51,0,
"P1.1_13_L4-zn",Conditioned,746.674,1,307.849,66.7362,0,747,0,0,0,0,1128.21,2986.7,730.272,746.674,0,
"P3.1_15_L4-zn",Conditioned,1394.16,2,944.148,145.313,0,1394,0,0,0,0,2515.35,5576.64,545.948,1394.16,0,
"Stair-3_L1-zn",Unconditioned,187.611,0,468.815,0,187.611,0,0,0,0,0,251.653,750.444,247.137,0,187.611,
"Garage-1_L1-zn",Unconditioned,3878.56,0,2732.71,0,3878.56,78.5228,0,0,0,0,6800.67,15514.2,1912.91,0,3800.04,
"Trash-Rm_L1-zn",Unconditioned,379.502,0,285.798,0,379.502,117.516,0,0,0,0,380.893,1518.01,756.223,0,261.985,
"Garage-2_L1-zn",Unconditioned,720.964,0,389.228,0,720.964,75.5259,0,0,0,0,979.558,2883.86,924.74,0,645.438,
"Stair-2_L1-zn",Unconditioned,183.743,0,461.407,0,183.743,0,0,0,0,0,245.691,734.972,243.59,0,183.743,
"Fitness_L1-zn",Directly Conditioned,2250.91,2,1505.04,368.126,2250.91,120.323,0,0,0,0,4017.7,9003.64,968.241,0,2130.58,
"Corridor_L1-zn",Unconditioned,2802.99,0,737.214,0,2802.99,59.7532,0,0,0,0,139.727,11212,10932.5,0,2743.11,
"Garage-3_L1-zn",Unconditioned,3121.13,0,1704.48,0,3121.13,178.488,0,0,0,0,5172.85,12484.5,2138.82,0,2942.64,
"Stair-1_L1-zn",Unconditioned,184.34,0,349.922,0,184.34,0,0,0,0,0,187.598,737.36,362.164,0,184.34,
"Stair-3_L2-zn",Unconditioned,187.611,0,302.524,0,0,0,0,0,0,0,257.385,750.444,235.675,187.611,187.611,
"Stair-2_L2-zn",Unconditioned,183.743,0,300.346,0,0,0,0,0,0,0,252.678,734.972,229.616,183.743,183.743,
"Stair-1_L2-zn",Unconditioned,184.34,0,263.53,0,0,0,0,0,0,0,232.8,737.36,271.761,184.34,184.34,
"Corridor_L2-zn",Unconditioned,2838.79,3,740.923,119.48,0,0,0,0,0,0,1632.29,11355.2,8090.58,2838.79,2917.85,
"Stair-3_L3-zn",Unconditioned,187.611,0,302.524,0,0,0,0,0,0,0,257.385,750.444,235.675,187.611,187.611,
"Stair-2_L3-zn",Unconditioned,183.743,0,300.346,0,0,0,0,0,0,0,252.678,734.972,229.616,183.743,183.743,
"Stair-1_L3-zn",Unconditioned,184.34,0,263.53,0,0,0,0,0,0,0,232.8,737.36,271.761,184.34,184.34,
"Corridor_L3-zn",Unconditioned,2917.85,3,740.923,119.48,0,0,0,0,0,0,1790.41,11671.4,8090.58,2917.85,2917.85,
"Stair-3_L4-zn",Unconditioned,187.611,0,302.524,0,0,188,0,0,0,0,257.385,750.444,235.675,187.611,0,
"Stair-2_L4-zn",Unconditioned,183.743,0,300.346,0,0,184,0,0,0,0,252.678,734.972,229.616,183.743,0,
"Stair-1_L4-zn",Unconditioned,184.34,0,263.53,0,0,184,0,0,0,0,232.8,737.36,271.761,184.34,0,
"Corridor_L4-zn",Unconditioned,2917.85,3,740.923,119.48,0,2918,0,0,0,0,1790.41,11671.4,8090.58,2917.85,0,
