AirSystems
,,,,,Cooling,,,,Heating,,,Fan/Ventilation,,,Controls
Name,Type,Status,System Count,Floor Area Served,Net Capacity,Design Supply T,Capacity/Area,Supply Flow/Ton,Net Capacity,Design Supply T,Capacity/Area,Supply Flow,Supply Flow/Area,Design OA,OA/Area,Control Zone Name,Temp Control,FixedT,Supply HiT,At Outdoor,Supply LowT,At OutdoorT,ReheatCtrlMthd,Availability Schedule,Night Cycle Control
,,,(#),(ft2),(Btu/hr),(degF),(Btu/ft2),(cfm/ton),(Btu/hr),(degF),(Btu/ft2),(cfm),(cfm/ft2),(cfm),(cfm/ft2),,,(degF),(degF),(degF),(degF),( degF),,,
"ResBaseAirSys TrmlUnit-10","Uncontrolled","New",1,"ResBaseAirSys_SZHP-10",1,"Elec. Room 02_L02",-99996,-99996,-99996,-99996,-99996,"","NONE",-99996,-99996,"UNDEFINED",-99996
"ResBaseAirSys TrmlUnit-11","Uncontrolled","New",1,"ResBaseAirSys_SZHP-11",1,"Elec. Room 03_L02",-99996,-99996,-99996,-99996,-99996,"","NONE",-99996,-99996,"UNDEFINED",-99996
"ResBaseAirSys TrmlUnit-12","Uncontrolled","New",1,"ResBaseAirSys_SZHP-12",1,"Elec. Room 04_L02",-99996,-99996,-99996,-99996,-99996,"","NONE",-99996,-99996,"UNDEFINED",-99996
"ResBaseAirSys TrmlUnit-13","Uncontrolled","New",1,"ResBaseAirSys_SZHP-13",1,"IDF 01_L02",-99996,-99996,-99996,-99996,-99996,"","NONE",-99996,-99996,"UNDEFINED",-99996
"ResBaseAirSys TrmlUnit-14","Uncontrolled","New",1,"ResBaseAirSys_SZHP-14",1,"IDF 02_L02",-99996,-99996,-99996,-99996,-99996,"","NONE",-99996,-99996,"UNDEFINED",-99996
"ResBaseAirSys TrmlUnit-15","Uncontrolled","New",1,"ResBaseAirSys_SZHP-15",1,"Storage 05_L02",-99996,-99996,-99996,-99996,-99996,"","NONE",-99996,-99996,"UNDEFINED",-99996
"ResBaseAirSys TrmlUnit-16","Uncontrolled","New",1,"ResBaseAirSys_SZHP-16",1,"Storage 08_L02",-99996,-99996,-99996,-99996,-99996,"","NONE",-99996,-99996,"UNDEFINED",-99996
"ResBaseAirSys TrmlUnit-17","Uncontrolled","New",1,"ResBaseAirSys_SZHP-17",1,"IDF_L03",-99996,-99996,-99996,-99996,-99996,"","NONE",-99996,-99996,"UNDEFINED",-99996
"ResBaseAirSys TrmlUnit-18","Uncontrolled","New",1,"ResBaseAirSys_SZHP-18",1,"Stair 5_L04",-99996,-99996,-99996,-99996,-99996,"","NONE",-99996,-99996,"UNDEFINED",-99996
"ResBaseAirSys TrmlUnit-19","Uncontrolled","New",1,"ResBaseAirSys_SZHP-19",1,"Storage 04_L04",-99996,-99996,-99996,-99996,-99996,"","NONE",-99996,-99996,"UNDEFINED",-99996
"ResBaseAirSys TrmlUnit-20","Uncontrolled","New",1,"ResBaseAirSys_SZHP-20",1,"Storage 09_L04",-99996,-99996,-99996,-99996,-99996,"","NONE",-99996,-99996,"UNDEFINED",-99996
"ResBaseAirSys TrmlUnit-21","Uncontrolled","New",1,"ResBaseAirSys_SZHP-21",1,"Storage 13_L04",-99996,-99996,-99996,-99996,-99996,"","NONE",-99996,-99996,"UNDEFINED",-99996
"ResBaseAirSys TrmlUnit-22","Uncontrolled","New",1,"ResBaseAirSys_SZHP-22",1,"IDF_L05",-99996,-99996,-99996,-99996,-99996,"","NONE",-99996,-99996,"UNDEFINED",-99996
"ResBaseAirSys TrmlUnit-23","Uncontrolled","New",1,"ResBaseAirSys_SZHP-23",1,"Storage 03_L05",-99996,-99996,-99996,-99996,-99996,"","NONE",-99996,-99996,"UNDEFINED",-99996



Cooling Coils
,,,,Relationships,,,Capacity,,,,ChilledWater,,,DirectExpansion
Name,Type,Status,Fuel Src,System,System Qty,Zone,Total-Net,Total-Gross,FluidSegIn,FluidSegOut,Design Flow Rate,Condenser Type,Number Stages,SEER (rounded),CodeMin SEER,EER (rounded),CodeMin EER,IEER (roundded),CodeMin IEER,EIR,Sizing Ratio,SEER2 (rounded),CodeMin SEER2,EER2 (rounded), CodeMin EER2
,,,,,(#),,(Btu/hr),(Btu/hr),(Btu/hr),(Btu/hr),( gpm)
"ResBaseAirSys_SZHP CoilClg","DirectExpansion","New","Electric","ResBaseAirSys_SZHP",1,"n/a",-99996,-99996,"NONE","NONE",-99996,"Air",1,-99996,-99996,-99996,-99996,-99996,-99996,0.333333,1,-99996,-99996,-99996,-99996
"ResBaseAirSys_SZHP CoilClg-2","DirectExpansion","New","Electric","ResBaseAirSys_SZHP-2",1,"n/a",-99996,-99996,"NONE","NONE",-99996,"Air",1,-99996,-99996,-99996,-99996,-99996,-99996,0.333333,1,-99996,-99996,-99996,-99996
