1,CSE Zone Surface Areas file format version number,
CompMgr:,,"BEMCmpMgr 2022.3.2 (8731)",
Ruleset:,,"CA 2022 Nonresidential, Vers. 1.0 Alpha (T24N_2022.bin)",
CSE:,,-,
Calculation Date/Time:,,,"2025-12-16T09:30:03-07:00",
Input File Name:,,,"Jefferson Murrieta Bldg 6B_2025-12-16",,,,,Areas include all sides exposed to the zone
,
Zone,,Zone,Num of,Exterior/Underground Surface Areas,,,,,Zone Boundary Areas Added,,,Interior Mass,,Other Interior Surface Areas,
Name,Conditioning,Area ft2,Exposures,Gr Wall ft2,Win Ft2,Floor ft2,Gr Ceiling ft2,Skylt ft2,Wall ft2,Floor ft2,Ceiling ft2,Wall ft2,Furn ft2,Wall ft2,Floor ft2,Ceiling ft2,
"P2.1 (N5)_L4-zn",Conditioned,989.685,1,627.834,75.3474,0,990,0,2438.87,0,0,0,3958.74,290,989.685,0,
"STAIR (LEFT)-zn",Unconditioned,175.5,1,315,21.5278,175.5,0,0,469.344,0,0,0,702,90,0,175.5,
"STAIR (RIGHT)-zn",Unconditioned,182.84,0,323.334,0,182.84,0,0,479.107,0,0,0,731.36,90,0,182.84,
"GARAGE (RIGHT)-zn",Unconditioned,2942.5,0,1384.17,0,2942.5,196.196,0,171.798,0,0,4999.45,11770,1427.5,0,2872.8,
"CORRIDOR_L1-zn",Unconditioned,2213.25,0,340,0,2213.25,47.3585,0,2891.55,0,0,0,8853,5305,0,2477.03,
"GARAGE (LEFT)-zn",Unconditioned,2764.67,0,1527.5,0,2764.67,99.8205,0,0,0,437.642,4815.59,11058.7,1427.5,0,2227.21,
"STAIR (LEFT)_L2-zn",Unconditioned,175.5,1,314.501,21.5278,0,0,0,559.843,0,0,0,702,0,175.5,175.5,
"STAIR (RIGHT)_L2-zn",Unconditioned,182.84,0,323.334,0,0,0,0,569.107,0,0,0,731.36,0,182.84,182.84,
"CORRIDOR_L2-zn",Unconditioned,2293.98,0,418.668,0,0,0,0,4448.46,0,0,0,9175.92,4060,2293.98,2294.32,
"STAIR (LEFT)_L3-zn",Directly Conditioned,175.5,1,314.501,21.5278,0,0,0,559.843,0,0,0,702,0,175.5,175.5,
"STAIR (RIGHT)_L3-zn",Directly Conditioned,182.84,0,323.334,0,0,0,0,569.107,0,0,0,731.36,0,182.84,182.84,
"CORRIDOR_L3-zn",Unconditioned,2294.32,0,418.668,0,0,0,0,4450.12,0,0,0,9177.28,4060,2294.32,2294.32,
"STAIR (LEFT)_L4-zn",Unconditioned,175.5,1,314.501,21.5278,0,176,0,559.843,0,0,0,702,0,175.5,0,
"STAIR (RIGHT)_L4-zn",Unconditioned,182.84,0,323.334,0,0,183,0,569.107,0,0,0,731.36,0,182.84,0,
"CORRIDOR_L4-zn",Unconditioned,2294.32,0,418.668,0,0,2294,0,4450.12,0,0,0,9177.28,4060,2294.32,0,
