"Euclid_Building C  /  Standard  /  Euclid_Building C_2025-01-06.cibd22",002
"Fri 18-Apr-25   4:57:23 pm"
"DHWSolarSys Sizing Export","Year"
"TimeStamp","Wthr","CZ","SCMult","Area","Vol","SSF"
"Fri 18-Apr-25   4:57:23 pm","ONTARIO_STYP20.epw",10,3.82528,156.3,234.5,0.282829
"Fri 18-Apr-25   4:57:25 pm","ONTARIO_STYP20.epw",10,5.73792,234.5,351.7,0.406981
