PV Array & Battery Report
,"PV and Battery required based on Prescriptive tables:  195.3 kWdc PV  /  Battery Energy 220.4 kWh and Power 52.79 kW"
,"Standard Design PV Capacity: 195.3 kWdc  /  Battery System Capacity: 186.8 kWh  (power 44.75 kW)"
,"User-specified PV and Battery equipment:  211.5 kWdc PV  /  246.0 kWh Battery"

Prescriptive PV/Battery Requirements:
Space/ResOtherZn/ResZn,,,,,,NonRes & HiRiseRes Multiplied Areas by PVBattery Bldg Type,,,,,,,,,LowRiseRes,,Prescriptive Capacities:
Name,Conditioning Type,Space Function,PV/Batt Bldg Type,Floor Area,Multiplier,Grocery,Highrise Multifamily,"Office, Financial, Unleased Tenant",Retail,School,Warehouse,Other,none,# Res Dwellings,MultArea,,PV,Batt Energy,Batt Power
,,,,(ft2),,(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),,(ft2),,(kWdc),(kWh),(kW)
"Stair-2_L03","Unconditioned","Stairwell","Highrise Multifamily",353.351,1,,0,,,,,,,,,,0,0,0,
"Stair-1_L03","Unconditioned","Stairwell","Highrise Multifamily",397.559,1,,0,,,,,,,,,,0,0,0,
"Corridor-2_L03","Unconditioned","Corridor Area","Highrise Multifamily",450.583,1,,0,,,,,,,,,,0,0,0,
"Corridor-3_L03","Unconditioned","Corridor Area","Highrise Multifamily",500.936,1,,0,,,,,,,,,,0,0,0,
"Corridor-1_L03","Unconditioned","Corridor Area","Highrise Multifamily",3606.25,1,,0,,,,,,,,,,0,0,0,
"Stair-3_L04","Unconditioned","Stairwell","Highrise Multifamily",339.517,1,,0,,,,,,,,,,0,0,0,
"Stair-2_L04","Unconditioned","Stairwell","Highrise Multifamily",353.351,1,,0,,,,,,,,,,0,0,0,
"Stair-1_L04","Unconditioned","Stairwell","Highrise Multifamily",397.559,1,,0,,,,,,,,,,0,0,0,
"Corridor-2_L04","Unconditioned","Corridor Area","Highrise Multifamily",450.583,1,,0,,,,,,,,,,0,0,0,
"Corridor-3_L04","Unconditioned","Corridor Area","Highrise Multifamily",500.936,1,,0,,,,,,,,,,0,0,0,
"Corridor-1_L04","Unconditioned","Corridor Area","Highrise Multifamily",3606.32,1,,0,,,,,,,,,,0,0,0,
"B2.6_127","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1180.23,1,,1180.23,,,,,,,1,,,2.60831,2.82796,0.67816,
"A2.3-R_125","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",798.766,1,,798.766,,,,,,,1,,,1.76527,1.91393,0.458971,
"A1.1_121","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",730.529,1,,730.529,,,,,,,1,,,1.61447,1.75042,0.419762,
"A1.1_126","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",730.529,1,,730.529,,,,,,,1,,,1.61447,1.75042,0.419762,
"A4_223","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",815.858,1,,815.858,,,,,,,1,,,1.80305,1.95488,0.468792,
"A4-R_222","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",815.858,1,,815.858,,,,,,,1,,,1.80305,1.95488,0.468792,
"A4_220","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",815.858,1,,815.858,,,,,,,1,,,1.80305,1.95488,0.468792,
"A4-R_218","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",815.858,1,,815.858,,,,,,,1,,,1.80305,1.95488,0.468792,
"A4_216","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",815.858,1,,815.858,,,,,,,1,,,1.80305,1.95488,0.468792,
"A7_214","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1063.27,1,,1063.27,,,,,,,1,,,2.34983,2.54771,0.610955,
"A4-R_210","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",815.858,1,,815.858,,,,,,,1,,,1.80305,1.95488,0.468792,
"A4-R_212","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",815.858,1,,815.858,,,,,,,1,,,1.80305,1.95488,0.468792,
