,"ResBaseAirSys TrmlUnit-7","Uncontrolled","ResBaseAirSys_SZHP-7","Offices_Break-Rm",684.267,-99996.000,-99996.000,""
,"ResBaseAirSys TrmlUnit-8","Uncontrolled","ResBaseAirSys_SZHP-8","Social-Lounge",348.812,-99996.000,-99996.000,""
,"ResBaseAirSys TrmlUnit-9","Uncontrolled","ResBaseAirSys_SZHP-9","Social-Lounge-2",360.868,-99996.000,-99996.000,""
,"ResBaseAirSys TrmlUnit-10","Uncontrolled","ResBaseAirSys_SZHP-10","Leasing",1208.914,-99996.000,-99996.000,""
,"ResBaseAirSys TrmlUnit-11","Uncontrolled","ResBaseAirSys_SZHP-11","Pet-Spa_L01",49.874,-99996.000,-99996.000,""
,"ResBaseAirSys TrmlUnit-12","Uncontrolled","ResBaseAirSys_SZHP-12","Fitness-Center-2",506.205,-99996.000,-99996.000,""
,"ResBaseAirSys TrmlUnit-13","Uncontrolled","ResBaseAirSys_SZHP-13","Fitness-Center-3",506.205,-99996.000,-99996.000,""
ENDTABLE
TABLE Euclid Building A_v3_2024-04-2922CoilClg
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages
,"ResBaseAirSys_SZHP CoilHtg-11","HeatPump","ResBaseAirSys_SZHP-11","n/a",2226.209,2137.477,0.00000,-99996.000,-99996.000
,"ResBaseAirSys_SZHP CoilHtg-12","HeatPump","ResBaseAirSys_SZHP-12","n/a",22595.083,21694.487,0.00000,-99996.000,-99996.000
,"ResBaseAirSys_SZHP CoilHtg-13","HeatPump","ResBaseAirSys_SZHP-13","n/a",22595.083,21694.487,0.00000,-99996.000,-99996.000
,"ResBaseAirSys_SZHP SuppCoilHtg","Resistance","ResBaseAirSys_SZHP","n/a",37674.500,37674.500,0.00000,-99996.000,-99996.000
,"ResBaseAirSys_SZHP SuppCoilHtg-2","Resistance","ResBaseAirSys_SZHP-2","n/a",37265.125,37265.125,0.00000,-99996.000,-99996.000
,"ResBaseAirSys_SZHP SuppCoilHtg-3","Resistance","ResBaseAirSys_SZHP-3","n/a",30150.250,30150.250,0.00000,-99996.000,-99996.000
,"ResBaseAirSys_SZHP SuppCoilHtg-4","Resistance","ResBaseAirSys_SZHP-4","n/a",15761.625,15761.625,0.00000,-99996.000,-99996.000
,"ResBaseAirSys_SZHP SuppCoilHtg-5","Resistance","ResBaseAirSys_SZHP-5","n/a",522.476,522.476,0.00000,-99996.000,-99996.000
,"ResBaseAirSys_SZHP SuppCoilHtg-6","Resistance","ResBaseAirSys_SZHP-6","n/a",10319.913,10319.913,0.00000,-99996.000,-99996.000
,"ResBaseAirSys_SZHP SuppCoilHtg-7","Resistance","ResBaseAirSys_SZHP-7","n/a",23094.750,23094.750,0.00000,-99996.000,-99996.000
,"ResBaseAirSys_SZHP SuppCoilHtg-8","Resistance","ResBaseAirSys_SZHP-8","n/a",13927.375,13927.375,0.00000,-99996.000,-99996.000
,"ResBaseAirSys_SZHP SuppCoilHtg-9","Resistance","ResBaseAirSys_SZHP-9","n/a",14250.875,14250.875,0.00000,-99996.000,-99996.000
,"ResBaseAirSys_SZHP SuppCoilHtg-10","Resistance","ResBaseAirSys_SZHP-10","n/a",38887.000,38887.000,0.00000,-99996.000,-99996.000
,"ResBaseAirSys_SZHP SuppCoilHtg-11","Resistance","ResBaseAirSys_SZHP-11","n/a",353.028,353.028,0.00000,-99996.000,-99996.000
,"ResBaseAirSys_SZHP SuppCoilHtg-12","Resistance","ResBaseAirSys_SZHP-12","n/a",31204.875,31204.875,0.00000,-99996.000,-99996.000
,"ResBaseAirSys_SZHP SuppCoilHtg-13","Resistance","ResBaseAirSys_SZHP-13","n/a",31204.875,31204.875,0.00000,-99996.000,-99996.000
ENDTABLE
TABLE Euclid Building A_v3_2024-04-2922Fan
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff,PwrIdx
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,(W/cfm)
,"ResBaseAirSys_SZHP SupFan","ConstantVolume","ResBaseAirSys_SZHP","n/a",869.658,-99996.000,0.650,"PowerPerUnitFlow",3.519,0.742,0.750,"InAirStream",0.855,0.7440
,"ResBaseAirSys_SZHP SupFan-2","ConstantVolume","ResBaseAirSys_SZHP-2","n/a",854.261,-99996.000,0.650,"PowerPerUnitFlow",3.519,0.729,0.750,"InAirStream",0.855,0.7440
,"ResBaseAirSys_SZHP SupFan-3","ConstantVolume","ResBaseAirSys_SZHP-3","n/a",489.096,-99996.000,0.650,"PowerPerUnitFlow",3.519,0.417,0.500,"InAirStream",0.855,0.7440
,"ResBaseAirSys_SZHP SupFan-4","ConstantVolume","ResBaseAirSys_SZHP-4","n/a",408.104,-99996.000,0.650,"PowerPerUnitFlow",3.519,0.348,0.500,"InAirStream",0.855,0.7440
,"ResBaseAirSys_SZHP SupFan-5","ConstantVolume","ResBaseAirSys_SZHP-5","n/a",78.219,-99996.000,0.650,"PowerPerUnitFlow",3.519,0.067,0.083,"InAirStream",0.855,0.7440
,"ResBaseAirSys_SZHP SupFan-6","ConstantVolume","ResBaseAirSys_SZHP-6","n/a",249.092,-99996.000,0.650,"PowerPerUnitFlow",3.519,0.213,0.250,"InAirStream",0.855,0.7440
,"ResBaseAirSys_SZHP SupFan-7","ConstantVolume","ResBaseAirSys_SZHP-7","n/a",684.267,-99996.000,0.650,"PowerPerUnitFlow",3.519,0.584,0.750,"InAirStream",0.855,0.7440
,"ResBaseAirSys_SZHP SupFan-8","ConstantVolume","ResBaseAirSys_SZHP-8","n/a",348.812,-99996.000,0.650,"PowerPerUnitFlow",3.519,0.298,0.500,"InAirStream",0.855,0.7440
,"ResBaseAirSys_SZHP SupFan-9","ConstantVolume","ResBaseAirSys_SZHP-9","n/a",360.868,-99996.000,0.650,"PowerPerUnitFlow",3.519,0.308,0.500,"InAirStream",0.855,0.7440
,"ResBaseAirSys_SZHP SupFan-10","ConstantVolume","ResBaseAirSys_SZHP-10","n/a",1208.914,-99996.000,0.650,"PowerPerUnitFlow",3.560,1.043,1.500,"InAirStream",0.865,0.7440
,"ResBaseAirSys_SZHP SupFan-11","ConstantVolume","ResBaseAirSys_SZHP-11","n/a",49.874,-99996.000,0.650,"PowerPerUnitFlow",3.519,0.043,0.083,"InAirStream",0.855,0.7440
,"ResBaseAirSys_SZHP SupFan-12","ConstantVolume","ResBaseAirSys_SZHP-12","n/a",506.205,-99996.000,0.650,"PowerPerUnitFlow",3.519,0.432,0.500,"InAirStream",0.855,0.7440
,"ResBaseAirSys_SZHP SupFan-13","ConstantVolume","ResBaseAirSys_SZHP-13","n/a",506.205,-99996.000,0.650,"PowerPerUnitFlow",3.519,0.432,0.500,"InAirStream",0.855,0.7440
ENDTABLE
TABLE Euclid Building A_v3_2024-04-2922OACtrl
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration
;
,"ResBaseAirSys_SZHP OACtrl","FixedDryBulb","ResBaseAirSys_SZHP","Integrated"
,"ResBaseAirSys_SZHP OACtrl-2","FixedDryBulb","ResBaseAirSys_SZHP-2","Integrated"
,"ResBaseAirSys_SZHP OACtrl-3","NoEconomizer","ResBaseAirSys_SZHP-3","UNDEFINED"
,"ResBaseAirSys_SZHP OACtrl-4","NoEconomizer","ResBaseAirSys_SZHP-4","UNDEFINED"
,"ResBaseAirSys_SZHP OACtrl-5","NoEconomizer","ResBaseAirSys_SZHP-5","UNDEFINED"
,"ResBaseAirSys_SZHP OACtrl-6","NoEconomizer","ResBaseAirSys_SZHP-6","UNDEFINED"
,"ResBaseAirSys_SZHP OACtrl-7","NoEconomizer","ResBaseAirSys_SZHP-7","UNDEFINED"
,"ResBaseAirSys_SZHP OACtrl-8","NoEconomizer","ResBaseAirSys_SZHP-8","UNDEFINED"
,"ResBaseAirSys_SZHP OACtrl-9","NoEconomizer","ResBaseAirSys_SZHP-9","UNDEFINED"
,"ResBaseAirSys_SZHP OACtrl-10","FixedDryBulb","ResBaseAirSys_SZHP-10","Integrated"
,"ResBaseAirSys_SZHP OACtrl-11","NoEconomizer","ResBaseAirSys_SZHP-11","UNDEFINED"
,"ResBaseAirSys_SZHP OACtrl-12","NoEconomizer","ResBaseAirSys_SZHP-12","UNDEFINED"
,"ResBaseAirSys_SZHP OACtrl-13","NoEconomizer","ResBaseAirSys_SZHP-13","UNDEFINED"
ENDTABLE
