"Title 24 Multi Family Compliance  /  Standard  /  Jefferson Murreita Bld 3A.cibd22",002
"Thu 20-Nov-25   2:3 pm"
"DHWSolarSys Sizing Export","Year"
"TimeStamp","Wthr","CZ","SCMult","Area","Vol","SSF"
"Thu 20-Nov-25   2:3 pm","RIVERSIDE_STYP20.epw",10,4.82608,197.2,295.8,0.336044
"Thu 20-Nov-25   2:3 pm","RIVERSIDE_STYP20.epw",10,7.23912,295.8,443.7,0.483772
