1,CSE Zone Surface Areas file format version number,
CompMgr:,,"BEMCmpMgr 2022.3.2 (8731)",
Ruleset:,,"CA 2022 Nonresidential, Vers. 1.0 Alpha (T24N_2022.bin)",
CSE:,,-,
Calculation Date/Time:,,,"2025-12-16T15:43:42-07:00",
Input File Name:,,,"Jefferson Murreita Bld 3A",,,,,Areas include all sides exposed to the zone
,
Zone,,Zone,Num of,Exterior/Underground Surface Areas,,,,,Zone Boundary Areas Added,,,Interior Mass,,Other Interior Surface Areas,
Name,Conditioning,Area ft2,Exposures,Gr Wall ft2,Win Ft2,Floor ft2,Gr Ceiling ft2,Skylt ft2,Wall ft2,Floor ft2,Ceiling ft2,Wall ft2,Furn ft2,Wall ft2,Floor ft2,Ceiling ft2,
"Garage 2_L01-zn",Unconditioned,1786.89,0,872.999,0,1786.89,61.4937,0,0,0,863.738,2573.78,7147.56,2000,0,861.658,
"Corridor_L01-zn",Unconditioned,1394.9,0,212.999,0,1394.9,19.6817,0,0,0,620.187,0,5579.6,7350,0,755.031,
"Garage 1_L01-zn",Unconditioned,1962.38,0,957.001,0,1962.38,116.576,0,0,0,1090.77,2924.76,7849.52,2000,0,755.031,
"Stair-1_L01-zn",Unconditioned,177.451,0,377.001,0,177.451,0,0,502.189,0,0,0,709.804,0,0,177.451,
"Stair-2_L02-zn",Unconditioned,177.451,1,297.001,75.3474,0,0,0,582.189,0,0,0,709.804,0,177.451,177.451,
"Stair-1_L02-zn",Directly Conditioned,177.451,1,315,75.3474,0,0,0,564.191,0,0,0,709.804,0,177.451,177.451,
"Corridor_L02-zn",Unconditioned,1510.06,0,310.499,0,0,0,0,3570.82,0,0,0,6040.24,1500,1510.06,1562.06,
"Stair-2_L03-zn",Directly Conditioned,177.451,1,297.001,75.3474,0,0,0,492.189,0,0,0,709.804,90,177.451,177.451,
"Stair-1_L03-zn",Directly Conditioned,177.451,1,315,75.3474,0,0,0,564.191,0,0,0,709.804,0,177.451,177.451,
"Corridor_L03-zn",Unconditioned,1562.06,0,310.499,0,0,0,0,2198.28,0,0,0,6248.24,3090,1562.06,1562.06,
"Stair-2_L04-zn",Unconditioned,177.451,1,297.001,75.3474,0,177,0,582.189,0,0,0,709.804,0,177.451,0,
"Stair-1_L04-zn",Unconditioned,177.451,1,315,75.3474,0,177,0,564.191,0,0,0,709.804,0,177.451,0,
"Corridor_L04-zn",Unconditioned,1562.06,0,310.499,0,0,1562,0,2288.28,0,0,0,6248.24,3000,1562.06,0,
